# FMK - opslag
Fortryd kassering af dosisrulle;Dosisdispenseringskort
Hent paknings overblik;Dosisdispenseringskort
Kasser dosisdispenseringsrulle;Dosisdispenseringskort
Substituer det pakkede lægemiddel;Dosisdispenseringskort
Hent patients eksplicit dosiskort;Dosisdispenseringskort
Afbryd pakning af Dosisdispenseringsperiode;Dosisdispenseringskort
Afslut pakning af Dosisdispenseringsperiode;Dosisdispenseringskort
Start pakning af Dosisdispenseringsperiode;Dosisdispenseringskort
Hent restudleveringer på recept;Opslag på medicinoplysninger
Tilbagefør effektuering af DD periode;Dosisdispenseringskort
Hent historik for dosisdispenseringskort;Dosisdispenseringskort
Hent receptandmodnings historik;Opslag på receptbestillinger/anmodninger
Viderestil receptanmodning;Opret/rediger receptbestillinger/anmodninger
Påbegynd DD udlevering af dosisdispenseringsperiode;Dosisdispenseringskort
Afbryd DD udlevering af dosisdispenseringsperiode;Dosisdispenseringskort
Sæt status for dosisdispenseringsperiode;Dosisdispenseringskort
Søg planlagt administration;Dosisdispenseringskort
Effektuer dosisdispenseringsperiode;Dosisdispenseringskort
Opdater planlagt administration;Dosisdispenseringskort
Opdater pakkegruppe;Dosisdispenseringskort
Opdater periode på dosisdispenseringskort;Dosisdispenseringskort
Opdater dosisdispenseringskort;Dosisdispenseringskort
Hent liste af pakkegrupper;Dosisdispenseringskort
Hent planlagt dispensering;Dosisdispenseringskort
Hent pakkegruppe;Dosisdispenseringskort
Hent perioder til dosisdispenseringskort;Dosisdispenseringskort
Slet planlagt administration;Dosisdispenseringskort
Slet pakkegruppe;Dosisdispenseringskort
Slet periode på dosisdispenseringskort;Dosisdispenseringskort
Opret planlagt administration;Dosisdispenseringskort
Opret pakkegruppe;Dosisdispenseringskort
Opret periode på dosisdispenseringskort;Dosisdispenseringskort
Opret dosisdispenseringskort;Dosisdispenseringskort
Luk dosisdispenseringskort;Dosisdispenseringskort
Hent info om dosis dispenseret medicin;Opslag på medicinoplysninger
Annuller receptanmodning;Opret/rediger receptbestillinger/anmodninger
Sæt dosisdispensering i bero;Sæt dosisdispensering i bero
Genoptag dosisdispensering;Genoptag dosisdispensering
Hent udstedelsesdato for nyeste recept;Opslag på medicinoplysninger
Hent receptanmodninger;Opslag på receptbestillinger/anmodninger
Opret receptanmodning;Opret/rediger receptbestillinger/anmodninger
Hent lægemiddelordination;Opslag på medicinoplysninger
Ny hent lægemiddelordination;Opslag på medicinoplysninger
Hent lægemiddelordinationversioner;Opslag på medicinoplysninger
Hent medicinkort;Opslag på medicinoplysninger
Ny hent medicinkort;Opslag på medicinoplysninger
Hent medicinkortversion;Opslag på medicinoplysninger
Hent medicinkortversioner;Opslag på medicinoplysninger
Hent medicinkort versioner for flere CPR numre;Opslag på medicinoplysninger
Hent medicinkort i PDF;Opslag på medicinoplysninger
Hent receptordination;Opslag på medicinoplysninger
Ny hent receptordination;Opslag på medicinoplysninger
Hent tilknyttede receptordinationer;Opslag på medicinoplysninger
Hent løse receptordinationer;Opslag på medicinoplysninger
Hent recept;Opslag på medicinoplysninger
Ny hent recept;Opslag på medicinoplysninger
Hent tilknyttede recepter;Opslag på medicinoplysninger
Hent løse recepter;Opslag på medicinoplysninger
Hent apoteksudleveringer på slettede recepter;Opslag på medicinoplysninger
Hent lægemiddelordinations historik;Opslag på medicinoplysninger
Hent ordinationer adresseret til lokationsnummer;Opslag på medicinoplysninger
Hent receptordinationer ud fra CPR-nummer;Opslag på medicinoplysninger
Hent receptordinationer ud fra recept-ID;Opslag på medicinoplysninger
Hent recepter ud fra CPR-nummer;Opslag på medicinoplysninger
Hent recepter ud fra recept-ID;Opslag på medicinoplysninger
